wcase,wsiter,a14,a15,a01,a03,a11,amt1,cont1,cpt1,dept1,domt1,jelt1,nat1,rct1,rdt1,subt1,AngMan_Cent,Interaction
3650,613, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,24,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,13,3.11258278173909E-005,0
3660,613, , ,0,33,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,16,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,9,3.11258278173909E-005,0
3670,613, , ,0,18,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,12,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,8,3.11258278173909E-005,0
3708,613, , ,0,23,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,20,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,8,3.11258278173909E-005,0
3729,613, , ,0,21,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,16,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,9,3.11258278173909E-005,0
3736,613, , ,0,18,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,18,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,13.9993846153846,3.11258278173909E-005,0
3856,614, , ,0,18,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,12,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,15,3.11258278173909E-005,0
3868,614, , ,0,19,13.3032903225806,25,17,19,14,17,19,9,15.6115351993215,15,14,-1.0753,0
3917,614, , ,0,20,13.3032903225806,26,17.2334465195246,15,12,19,20,9,15.6115351993215,15.3496143958869,15,-.0752999999999986,0
10485,632, , ,0,19,13.3032903225806,27,13,12,10,17,23,7,15.6115351993215,24,13,.924700000000001,0
10520,632, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,19,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,16,3.11258278173909E-005,0
10543,632, , ,0,18,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,9,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,13.9993846153846,3.11258278173909E-005,0
10557,632, , ,0,19,13.3032903225806,20,16,16,24,19,20,8,13,17,9,-6.0753,0
10562,632, , ,0,19,13.3032903225806,26,18,10,15,18,25,7,15.6115351993215,16,8,-.0752999999999986,0
10569,632, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,14.4806324110672,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,13.9993846153846,3.11258278173909E-005,0
10572,632, , ,0,19,13.3032903225806,31,17.2334465195246,9,12,13,20,4,15.6115351993215,15.3496143958869,8,4.9247,0
10717,632, , ,0,19,13.3032903225806,26,20,15,14.4806324110672,20,22,8,15.6115351993215,16,15,-.0752999999999986,0
10756,632, , ,0,20,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,21,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,12,3.11258278173909E-005,0
10774,632, ,1,0,19,18,26.0753311258278,9,8,10,16,9,4,15,15.3496143958869,10,3.11258278173909E-005,0
10807,632, , ,0,19,13.3032903225806,25,17,20,17,18,19,12,15.6115351993215,18,8,-1.0753,0
10831,632, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,25,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,12,3.11258278173909E-005,0
10863,632, , ,0,18,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,18,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,9,3.11258278173909E-005,0
10866,632, , ,0,18,13.3032903225806,21,18,19,21,21,25,9,15.6115351993215,22,15,-5.0753,0
10913,632, , ,0,18,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,14.4806324110672,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,10,3.11258278173909E-005,0
10921,632, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,15.0244667503137,14.4806324110672,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,13.9993846153846,3.11258278173909E-005,0
30001,701, , ,0,19,13.3032903225806,26.0753311258278,17.2334465195246,16,14.4806324110672,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,8,3.11258278173909E-005,0
30002,701, , ,0,23,13.3032903225806,26.0753311258278,17.2334465195246,17,14.4806324110672,16.7000828500414,19.6080066722269,7.22775510204082,15.6115351993215,15.3496143958869,8,3.11258278173909E-005,0
