caseid,wsiter,amt1,cpt1,dept1,jelt1,subt1,a01,a08,am01,am02,am03,am04,am05,am06,am07,am08,am09,con12,con13,con14,con15,con17,con01,con03,con05,con09,cp10,cp11,cp12,cp13,cp15,cp02,cp07,cp08,dom01,dom02,dom03,dom04,dom05,dom06,dom07,dom08,dom09
824,632,24,21,14,27,13,0, ,3,2,3,3,1,3,2,3,3,2,2.22834685964986,3,2,3,2,1,2,2,2,3,3,2,3,4,3,2,2,3,3,3,3,3,2,3,3
825,632,23.4045687898244,17.4919523407259,25,22.1843196190083,12,0,3,2.49807519159975,2.44142355939378,2.72209235223767,2.95205199162776,2.16127368467734,2.87970675519946,2.35997452808942,2.76944757100259,2.61278927501568,2.19202614843749,2.29342167627595,2.42700481967073,2.52077614740966,2.42660863125566,2.31102615773247,2.39336613898719,2.3739546053987,2.38693463858961,1.75284617546791,2.35498929471143,3.05372664704798,1.89847660062904,2.70136883243688,2.26256332241245,2.46779930959907,2.10763544015021,1.94560846208956,2.86641231655769,3.18027998038856,2.49929109486015,1.75458539351621,2.33116900417428,2.30690291822034,2.24701418231502,1.64400660025796
826,632,25.9022256560114,14.9425053795044,17,20.01175884011,10,1,3,2.91197153086232,2.66541057914806,2.26960025864435,3.05410206914303,1.80812114694107,3.04903072495062,2.58051372013989,2.97170631669051,2.25278132617368,1.7283243776876,1.92677031512605,2.05682067571331,2.11592219692849,1.97900028823925,1.96095782137345,1.94793797832392,1.88553777543949,1.95152176028146,1.46257897095278,1.94220515458053,3.32221633573022,1.53287596151853,2.47991141427961,1.89877431477911,2.20155821412567,1.74681767590364,1.598306050851,3.24093514198286,3.49524773458072,2.42487993479228,1.53896493967953,2.36796737967192,2.22232928740557,1.89911693564952,1.40410314103022
827,632,29,16,13,17,14.0543031306242,1,2,3,3,2,3,1,3,3,4,2,3,2,2,2,2,2,2,1,2,2,2,3,1,3,3,2,1,1,3,3,2,1,2,1,1,1
828,632,25.4907861464844,15.4089930841266,18,20.3268280252463,11,0,3,2.85328870138092,2.62723706537063,2.34406891506159,3.03801190314866,1.86669386727663,3.01925829945834,2.54248368142586,2.93663006076316,2.31536080831856,1.80705098094186,1.98789708431029,2.11443807512324,2.18497714985969,2.0552931544043,2.02170298827249,2.01672200953592,1.95976868744778,2.01988994979618,1.51546684708399,2.01123054061071,3.27483497993561,1.60539180179796,2.51557317762049,1.97340106078947,2.25640139143434,1.80636323584209,1.65291438818761,3.18995045329759,3.44981093832886,2.44078748793736,1.58379208952246,2.38466254470108,2.23524962643533,1.95695672360514,1.45420544428702
829,632,27.5791503971707,14,11,9,13,0,2,3,3,1,3,2,2.94089629428233,2.6384343064561,3,2,2,1.34559544646984,2,1,1,1,1,1,1,1,2,3,2,1,1,3,2,2,3,4,2,1,3,1,1,1
830,632,26.4749948429016,14.5284211621015,14,19.3565452031944,12,1,3,3.04171477214931,2.71209687842604,2.16557525417978,3.08014652509305,1.72859400672456,3.08096847293822,2.62485290489718,3.01164233303016,2.18223280333659,1.63057044732832,1.84535900117669,1.95959768691855,2.03174539894189,1.8857338449974,1.89196648637073,1.82895595888187,1.75070376117055,1.83936105657863,1.41461184633796,1.85131145324878,3.37222610505184,1.49410017661769,2.42612336473178,1.86924821045597,2.1807822846963,1.66446992547248,1.50911794505309,3.36609363799118,3.59111927681737,2.42119832960099,1.52364744423972,2.45984829769352,2.19922583816904,1.8212817859322,1.38789203694868
831,632,26,14,10,21,11,1,1,3,2,2,4,3,4,3,3,3,1,1,1,2,1,1,1,1,1,1,1,4,1,3,3,2,2,1,4,4,2,2,2,2,2,1
832,632,21,16,12,29,13,0,1,2,1,2,3,3,3,2,3,3,1,3,1,3,1,2,1,3,2,1,2,3,1,4,2,3,1,1,4,4,4,2,2,3,4,2
833,632,28,13,20,19,13,0,2,3,3,1,3,1,3,2,3,2,2,2,1,1,2,1,1,1,1,1,2,3,1,2,1,2,2,1,4,4,3,1,2,3,3,1
